id,item,vowel,language,f1_cent,f2_cent,tl,f1_20,f1_35,f1_50,f1_65,f1_80,f2_20,f2_35,f2_50,f2_65,f2_80
jv,   meet,i,en,480.71,2474.55,79.37,489.23,490.71,495.63,481.77,446.23,2462.08,2476.96,2483.79,2486.11,2463.82
jv,beat,i,en,328.10,1675.81,2050.38,337.42,340.77,349.42,316.98,295.89,2430.55,2443.60,2459.53,602.95,442.42
jv,feet,i,en,312.79,1879.50,3458.89,353.26,319.04,306.56,291.72,293.37,2213.48,2283.14,2304.06,514.68,2082.15
jv,seat,i,en,294.86,1048.72,2262.70,334.90,316.75,280.02,273.80,268.84,2471.49,555.61,791.89,739.73,684.87
jv,heat,i,en,309.04,2028.20,3262.02,303.31,307.81,299.31,310.17,324.61,2393.02,2384.22,752.50,2327.24,2284.00
jv,fleet,i,en,298.59,2513.10,168.73,288.91,299.98,301.34,301.72,300.98,2467.64,2526.42,2552.67,2548.70,2470.05
jv,moss,a,en,782.26,1104.72,163.77,802.53,795.34,811.27,769.77,732.39,1111.87,1144.15,1121.69,1070.92,1074.96
jv,bot,a,en,697.77,1026.47,128.83,669.28,723.36,698.37,705.94,691.89,1017.89,1016.98,1042.80,1022.47,1032.23
jv,fought,a,en,582.63,893.50,399.87,611.65,621.15,626.46,645.72,408.17,935.80,907.52,925.77,954.02,744.36
jv,sought,a,en,659.85,1044.29,261.73,657.23,675.78,681.04,652.46,632.74,1051.49,1012.05,989.03,1003.88,1165.00
jv,caught,a,en,683.45,1021.86,147.88,685.15,669.89,668.99,677.87,715.37,1021.42,1006.70,992.71,996.20,1092.28
jv,brought,a,en,725.43,1146.84,339.35,735.79,761.47,746.08,710.57,673.23,1080.12,1043.23,1100.47,1186.80,1323.57
jv,moot,u,en,390.50,1004.72,95.56,391.70,390.28,389.75,387.94,392.82,1017.95,999.77,981.93,983.54,1040.39
jv,boot,u,en,396.03,1126.71,188.83,396.22,390.56,395.26,395.24,402.85,1186.13,1145.63,1098.93,1067.08,1135.80
jv,food,u,en,340.44,1054.19,84.33,351.76,345.67,335.07,332.02,337.66,1054.87,1037.56,1056.83,1045.14,1076.56
jv,soothe,u,en,360.34,1278.39,303.52,357.92,348.59,354.63,367.42,373.15,1256.29,1185.82,1216.55,1316.62,1416.68
jv,cooed,u,en,421.56,1077.78,324.75,400.97,388.92,400.30,445.56,472.04,1048.81,1005.69,1002.07,1076.81,1255.52
jv,dude,u,en,359.02,1447.31,442.39,369.16,357.55,359.59,353.94,354.87,1713.02,1532.59,1377.85,1341.65,1271.46
jv,mis,i,sp,394.82,1149.25,906.18,439.27,389.14,382.88,385.81,377.02,1792.19,1077.60,1049.08,938.10,889.26
jv,bis,i,sp,333.95,2430.90,152.73,349.40,339.35,327.40,322.93,330.64,2340.99,2403.85,2466.71,2477.15,2465.80
jv,pis,i,sp,340.16,2421.79,85.79,354.01,352.05,337.33,330.50,326.89,2385.97,2423.71,2440.90,2437.98,2420.41
jv,cito,i,sp,331.46,1013.71,435.31,338.08,339.45,329.56,328.30,321.89,1164.33,1211.71,1021.61,845.87,825.02
jv,fito,i,sp,357.20,969.96,515.48,366.07,359.67,356.85,349.80,353.63,966.03,921.18,879.26,845.05,1238.27
jv,quito,i,sp,352.84,2082.36,1907.33,356.22,353.04,357.59,349.72,347.63,2607.45,2628.17,2559.93,1874.23,742.01
jv,mas,a,sp,670.34,1136.20,584.33,803.96,824.65,665.09,554.42,503.57,1361.06,1362.52,1021.07,994.24,942.12
jv,vas,a,sp,630.11,962.75,229.60,611.25,651.10,646.62,643.53,598.06,1033.22,921.72,916.28,974.44,968.11
jv,pasa,a,sp,813.95,1349.30,104.92,777.04,798.55,818.80,839.84,835.52,1329.85,1358.29,1350.71,1364.78,1342.88
jv,sala,a,sp,690.11,889.57,216.81,659.04,722.50,679.33,699.64,690.04,948.71,864.28,888.46,893.07,853.33
jv,fama,a,sp,806.38,1355.31,103.16,785.40,787.12,793.27,817.35,848.77,1318.70,1339.95,1358.29,1372.82,1386.78
jv,cama,a,sp,686.79,1108.91,243.02,689.48,701.13,710.03,686.64,646.69,1224.88,1170.71,1095.15,1027.51,1026.28
jv,musa,u,sp,386.47,836.55,252.19,391.25,379.62,369.86,414.30,377.31,897.99,809.46,778.51,818.16,878.63
jv,bulto,u,sp,408.49,832.07,142.17,410.85,413.91,415.59,405.76,396.34,765.65,778.53,821.50,891.08,903.59
jv,puso,u,sp,401.03,974.04,259.66,405.41,410.88,393.77,397.45,397.66,844.08,902.87,976.65,1045.19,1101.43
jv,supo,u,sp,328.83,783.31,405.75,367.49,364.75,351.68,287.38,272.84,826.79,736.26,847.83,722.64,783.02
jv,fumo,u,sp,321.45,731.20,152.49,359.05,350.68,333.62,283.16,280.74,759.56,709.28,698.69,734.52,753.92
jv,cura,u,sp,398.57,933.66,262.75,401.84,404.69,399.88,400.33,386.13,820.82,871.36,914.95,978.91,1082.25
